12357	Crystal_Versace [304653]	TAKE	181969	Carbine Rifle (LSPD6926)	1	25.01.2023, 01:39:31
12356	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:37:20
12355	Akina_SnowHill [380422]	GIVE	236536	Carbine Rifle (LSPD9757)	1	25.01.2023, 01:37:17
12354	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:36:48
12353	Cursed_Timeless [439218]	GIVE	212077	Carbine Rifle (LSPD2483)	1	25.01.2023, 01:32:10
12352	Art_Korolev [440072]	TAKE	156852	Carbine Rifle (LSPD7060)	1	25.01.2023, 01:31:23
12351	Haru_Eternity [298266]	TAKE	212954	Carbine Rifle (LSPD1267)	1	25.01.2023, 01:31:10
12350	Day_Korolev [376084]	GIVE	239286	Carbine Rifle (LSPD9897)	1	25.01.2023, 01:30:10
12349	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:27:51
12348	Angel_Benedetti [424810]	GIVE	167269	Тазер (LSPD9364)	1	25.01.2023, 01:27:32
12347	Vivi_Azuryan [269533]	GIVE	200786	Service Carbine (LSPD8574)	1	25.01.2023, 01:27:07
12346	Vivi_Azuryan [269533]	TAKE	229638	Service Carbine (LSPD8574)	1	25.01.2023, 01:27:02
12345	Valeriano_Caputto [448065]	TAKE	233975	Тазер (LSPD9364)	1	25.01.2023, 01:26:50
12344	Valeriano_Caputto [448065]	GIVE	233975	Тазер (LSPD9364)	1	25.01.2023, 01:26:17
12343	Vivi_Azuryan [269533]	GIVE	229638	Service Carbine (LSPD8574)	1	25.01.2023, 01:25:21
12342	Vivi_Azuryan [269533]	TAKE	200786	Service Carbine (LSPD8574)	1	25.01.2023, 01:25:16
12341	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:23:58
12340	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:21:19
12339	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:19:39
12338	Seva_Novoseltsev [419170]	TAKE	213617	Carbine Rifle (LSPD7386)	1	25.01.2023, 01:18:33
12337	Daniel_Korolev [189492]	GIVE	192265	Carbine Rifle (LSPD8578)	1	25.01.2023, 01:17:49
12336	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	25.01.2023, 01:17:16
12335	Biba_Pokrovsky [420167]	GIVE	130910	Тазер (LSPD7637)	1	25.01.2023, 01:15:48
12334	Biba_Pokrovsky [420167]	GIVE	130910	Carbine Rifle (LSPD2363)	1	25.01.2023, 01:15:44
12333	Biba_Pokrovsky [420167]	TAKE	229131	Тазер (LSPD7637)	1	25.01.2023, 01:14:50
12332	Biba_Pokrovsky [420167]	TAKE	229131	Carbine Rifle (LSPD2363)	1	25.01.2023, 01:14:41
12331	Valeriano_Caputto [448065]	TAKE	233975	Тазер (LSPD9364)	1	25.01.2023, 01:14:26
12330	Valeriano_Caputto [448065]	GIVE	233975	Тазер (LSPD9364)	1	25.01.2023, 01:13:31
12329	Djamal_Beifongez [303650]	TAKE	113537	Carbine Rifle (LSPD8839)	1	25.01.2023, 01:12:02
12328	Day_Korolev [376084]	TAKE	239286	Carbine Rifle (LSPD7399)	1	25.01.2023, 01:12:01
12327	Angel_Benedetti [424810]	TAKE	167269	Тазер (LSPD9364)	1	25.01.2023, 01:08:20
12326	Pavel_Domnin [141842]	GIVE	167650	Carbine Rifle (LSPD3799)	1	25.01.2023, 01:06:53
12325	Noudzen_Yanozzo [421876]	TAKE	98384	Carbine Rifle (LSPD1049)	1	25.01.2023, 01:06:14
12324	Mayk_Grozny [379472]	TAKE	63998	Carbine Rifle (LSPD7105)	1	25.01.2023, 01:05:26
12323	Djamal_Beifongez [303650]	GIVE	113537	Carbine Rifle (LSPD8839)	1	25.01.2023, 01:03:46
12322	Djamal_Beifongez [303650]	TAKE	113537	Carbine Rifle (LSPD8839)	1	25.01.2023, 01:03:45
12321	Seva_Novoseltsev [419170]	GIVE	213617	Carbine Rifle (LSPD7386)	1	25.01.2023, 01:03:04
12320	Djamal_Beifongez [303650]	GIVE	113537	Carbine Rifle (LSPD8839)	1	25.01.2023, 01:01:03
12319	Djamal_Beifongez [303650]	TAKE	113537	Carbine Rifle (LSPD8839)	1	25.01.2023, 01:01:00
12318	Djamal_Beifongez [303650]	TAKE	113537	Carbine Rifle (LSPD3630)	1	25.01.2023, 01:00:59
12317	Djamal_Beifongez [303650]	TAKE	113537	Carbine Rifle (LSPD5818)	1	25.01.2023, 01:00:54
12316	Sapphir_Nedovolny [19113]	GIVE	113537	Carbine Rifle (LSPD5818)	1	25.01.2023, 01:00:47
12315	Vladimer_Gozmanov [423293]	GIVE	195292	Carbine Rifle (LSPD7772)	1	25.01.2023, 00:58:46
12314	Crystal_Versace [304653]	GIVE	181969	Carbine Rifle (LSPD6926)	1	25.01.2023, 00:58:35
12313	Fufik_Deloryan [336736]	GIVE	242613	Тяжелый пистолет (LSPD6100)	1	25.01.2023, 00:56:59
12312	Vitek_Knyazev [240590]	TAKE	126220	Carbine Rifle (LSPD1521)	1	25.01.2023, 00:56:55
12311	Tommy_Yanozzo [427798]	GIVE	134476	Carbine Rifle (LSPD8091)	1	25.01.2023, 00:56:12
12310	Day_Korolev [376084]	GIVE	239286	Carbine Rifle (LSPD7399)	1	25.01.2023, 00:43:55
12309	Vlados_Billionaire [373297]	TAKE	226735	Carbine Rifle (LSPD3608)	1	25.01.2023, 00:42:53
12308	Antonio_Eternity [402797]	GIVE	212954	Carbine Rifle (LSPD1267)	1	25.01.2023, 00:42:26
12307	Tim_Eternity [422680]	TAKE	238845	Carbine Rifle (LSPD1720)	1	25.01.2023, 00:42:25
12306	Yaroslava_Mansurova [371914]	TAKE	176992	Carbine Rifle (LSPD7772)	1	25.01.2023, 00:40:44
12305	Kidomaru_Barinov [7256]	TAKE	188516	Carbine Rifle (LSPD1012)	1	25.01.2023, 00:29:41
12304	Haru_Eternity [298266]	TAKE	242039	Carbine Rifle (LSPD1267)	1	25.01.2023, 00:29:23
12303	Haru_Eternity [298266]	TAKE	242039	Carbine Rifle (LSPD3698)	1	25.01.2023, 00:29:19
12302	Haru_Eternity [298266]	GIVE	242039	Carbine Rifle (LSPD1267)	1	25.01.2023, 00:25:42
12301	Haru_Eternity [298266]	GIVE	242039	Carbine Rifle (LSPD3698)	1	25.01.2023, 00:25:41
12300	Haru_Eternity [298266]	TAKE	79464	Carbine Rifle (LSPD1267)	1	25.01.2023, 00:25:36
12299	Haru_Eternity [298266]	TAKE	79464	Carbine Rifle (LSPD3698)	1	25.01.2023, 00:25:36
12298	Romaha_Hasanyan [308625]	TAKE	186910	Carbine Rifle (LSPD9178)	1	25.01.2023, 00:25:05
12297	Jeka_Korovkin [81445]	TAKE	183480	Carbine Rifle (LSPD4527)	1	25.01.2023, 00:25:02
12296	Mayk_Grozny [379472]	GIVE	63998	Carbine Rifle (LSPD7105)	1	25.01.2023, 00:24:47
12295	Yumy_Korovkina [410310]	TAKE	148401	Carbine Rifle (LSPD3799)	1	25.01.2023, 00:23:32
12294	Yaroslava_Mansurova [371914]	GIVE	176992	Carbine Rifle (LSPD7772)	1	25.01.2023, 00:23:27
12293	Djamal_Beifongez [303650]	TAKE	113537	Тазер (LSPD1685)	1	25.01.2023, 00:21:35
12292	Day_Korolev [376084]	TAKE	239286	Carbine Rifle (LSPD7399)	1	25.01.2023, 00:20:54
12291	Denis_Novoseltsev [367263]	GIVE	238590	Service Carbine (LSPD4333)	1	25.01.2023, 00:20:23
12290	Denis_Novoseltsev [367263]	GIVE	238590	Carbine Rifle (LSPD9665)	1	25.01.2023, 00:20:22
12289	Yumy_Korovkina [410310]	GIVE	148401	Carbine Rifle (LSPD3799)	1	25.01.2023, 00:20:20
12288	Rick_Quadrez [403113]	GIVE	115184	Carbine Rifle (LSPD6214)	1	25.01.2023, 00:19:58
12287	Sapphir_Nedovolny [19113]	GIVE	113537	Тазер (LSPD1685)	1	25.01.2023, 00:19:17
12286	Denis_Novoseltsev [367263]	TAKE	171373	Carbine Rifle (LSPD9665)	1	25.01.2023, 00:19:08
